turn,utterance,emotion,act,hat,dialogue_id,topic
1,That black sheep . It serves him right .,no_emotion,inform,red,4194,Attitude_Emotion
0,Mr . Smith is really a thorough drag .,no_emotion,inform,red,4204,Attitude_Emotion
4,Just because he gets on well with everybody ?,no_emotion,question,red,4214,Attitude_Emotion
2,I don ’ t know what he wants to do . Does he want help me or just scold me ?,no_emotion,question,red,4213,Attitude_Emotion
4,You ’ re the best ! __eou__,happiness,inform,red,4851,Relationship
3,I think we ’ ll benefit a lot . __eou__,happiness,inform,red,4198,Attitude_Emotion
3,"Dear , forgive me . I won ’ t do that again . __eou__",no_emotion,inform,red,4196,Attitude_Emotion
3,Not bad . I ’ m confident . And I like challenges .,no_emotion,inform,red,10485,Work
0,"I'm busy year in and year out , but now I've done nothing .",sadness,inform,red,4202,Attitude_Emotion
4,And why are you yarning now ? Are you bored ?,no_emotion,question,red,4180,Attitude_Emotion
6,That would be great . __eou__,happiness,commissive,red,4173,Attitude_Emotion
4,Perhaps . I'm dead tired . __eou__,sadness,inform,red,4202,Attitude_Emotion
3,Thank you . I appreciate the compliment . __eou__,happiness,inform,red,4206,Attitude_Emotion
3,Many things are troubling me . I don't know whether I should come and go .,no_emotion,inform,red,4176,Attitude_Emotion
1,That's great ! Congratulations .,happiness,inform,red,4173,Attitude_Emotion
0,I am tired of everything in my life .,no_emotion,inform,red,4187,Attitude_Emotion
1,It is impossible . You cheated on me .,anger,commissive,red,4257,Attitude_Emotion
0,I'm tired of this job .,disgust,inform,red,4863,Relationship
1,What is over ?,no_emotion,question,red,4201,Attitude_Emotion
3,She never cares about others .,disgust,inform,red,4167,Attitude_Emotion
2,To think of it ! All my old silver ! It meant so much to me .,no_emotion,inform,red,4211,Attitude_Emotion
7,"Have a nice journey , Lily .",happiness,inform,red,4209,Attitude_Emotion
5,I really envy you . You know I'm not taking my vacation until December . __eou__,no_emotion,inform,red,10482,Work
0,I am so bored all day .,no_emotion,inform,red,4235,Attitude_Emotion
5,Don ’ t mention it . I ’ Ve really enjoyed your company . __eou__,happiness,inform,red,10480,Work
3,"Oh , Kelly , I couldn't recognize your voice . Well , I'm fine .",no_emotion,inform,red,10437,Work
2,But you should at least consider your son's future .,no_emotion,inform,red,4192,Attitude_Emotion
0,Everything's gone wrong .,sadness,inform,red,10434,Work
1,It was a real red letter day for you .,no_emotion,inform,red,4203,Attitude_Emotion
2,Thank you . __eou__,happiness,commissive,red,4177,Attitude_Emotion
6,Thanks . I feel like celebrating . Let's go have a beer . It's on me .,happiness,directive,red,4168,Attitude_Emotion
1,I'm sorry to have made you disappointed .,sadness,inform,red,4180,Attitude_Emotion
0,Mike ! Look at the floor !,surprise,inform,red,4210,Attitude_Emotion
3,His parents must feel very happy . __eou__,happiness,inform,red,4181,Attitude_Emotion
1,He is really terrific !,surprise,inform,red,4193,Attitude_Emotion
2,So what ? I just lost one hour's worth of work .,anger,inform,red,4251,Attitude_Emotion
3,Yes . I bet my bottom dollar that he will get promoted .,no_emotion,inform,red,4214,Attitude_Emotion
1,I feel eggplants are more nutritious .,no_emotion,inform,red,4184,Attitude_Emotion
3,Oh ...,no_emotion,inform,red,4210,Attitude_Emotion
3,Forget it . It ’ s my pleasure . You mean a lot to me .,happiness,inform,red,4851,Relationship
2,The operation was very successful .,happiness,inform,red,4181,Attitude_Emotion
8,"Thank you , David . __eou__",happiness,inform,red,4209,Attitude_Emotion
3,Congratulations . How lucky you are !,happiness,inform,red,4209,Attitude_Emotion
1,"To tell you the truth , it's the most tedious course I'ever had .",disgust,inform,red,4175,Attitude_Emotion
5,Maybe . But it still gets on my nerves . __eou__,sadness,inform,red,4212,Attitude_Emotion
2,He's endless talking about stocks almost bores me to death .,disgust,inform,red,4204,Attitude_Emotion
0,It really makes my blood boil when this sort of thing happens . I even want to wring his neck .,anger,inform,red,4208,Attitude_Emotion
6,"That's exactly what I want , thank you . __eou__",happiness,inform,red,4164,Attitude_Emotion
0,Mark is parade his knowledge again .,disgust,inform,red,4195,Attitude_Emotion
0,I like the design of the coat .,happiness,inform,red,4183,Attitude_Emotion
6,I ’ m sure I will .,happiness,inform,red,4209,Attitude_Emotion
2,"It ’ s so wet and dark , I ’ m just fed up . __eou__",anger,inform,red,4243,Attitude_Emotion
0,Mary is really a diligent girl .,happiness,inform,red,4199,Attitude_Emotion
0,I am confused by what he said .,no_emotion,inform,red,4213,Attitude_Emotion
2,That's all right . But why were you so rude to me at lunch .,no_emotion,question,red,4180,Attitude_Emotion
0,Your knowledge of English is really surprising .,surprise,inform,red,4206,Attitude_Emotion
1,What ? How happy your life is ! I do envy you .,surprise,question,red,4187,Attitude_Emotion
4,Thank you very much indeed.You helped me rebuild my self-confidence .,happiness,inform,red,4173,Attitude_Emotion
1,How could I feel easy ? I ’ m really pissed .,anger,inform,red,4231,Attitude_Emotion
1,"Of course , I ’ Ve enjoyed it very much . I ’ Ve met my old friends and made some new friends .",happiness,inform,red,10484,Work
0,My son has really taken it out of me . He never keeps out of mischief .,anger,inform,red,4179,Attitude_Emotion
5,I bet . That's great news . I'm very happy for you .,happiness,inform,red,4168,Attitude_Emotion
5,The same to you . Keep in touch . __eou__,happiness,inform,red,10484,Work
8,"Yes , I do . Leave me alone ! __eou__",disgust,inform,red,4263,Attitude_Emotion
7,I was also interrupted by her last week because of such a thing . __eou__,no_emotion,inform,red,4167,Attitude_Emotion
3,It is still a mystery to me . __eou__,no_emotion,inform,red,4175,Attitude_Emotion
8,"I'm so sorry , I .. I didn't realize it was that loud .",sadness,inform,black,4244,Attitude_Emotion
0,"Look , Bob hasn't made any progress on that project .",no_emotion,inform,black,10439,Work
1,"After all , he is a baby .",no_emotion,inform,black,4179,Attitude_Emotion
7,"It's so cheap . I'll buy one , too .",happiness,inform,black,4249,Attitude_Emotion
0,You're late .,no_emotion,inform,black,4247,Attitude_Emotion
1,It makes no sense to tell him about that .,no_emotion,commissive,black,10467,Work
3,It seemed to be useless to study well when we were young if we examine his case . __eou__,no_emotion,inform,black,4222,Attitude_Emotion
4,"Yes , I did . He only takes side with him . He seldom asks what Dick is doing . __eou__",no_emotion,inform,black,4197,Attitude_Emotion
3,But didn ’ t you say that his Dad takes him under his wings ?,no_emotion,question,black,4197,Attitude_Emotion
5,So I couldn't get through . I knew I'd be late because my car wouldn't start.It was too cold I had to warm it up in the garage with a heater . That's why I'm late .,no_emotion,inform,black,4247,Attitude_Emotion
1,Why ?,no_emotion,question,black,10471,Work
2,You forgot it last year as well .,anger,inform,black,4256,Attitude_Emotion
0,"Hello , Bob . Can you give me an update of the situation ?",no_emotion,directive,black,10465,Work
2,"Let's look at that another way . The major point is the value that we add , not who has been in business longer , or is bigger .",no_emotion,directive,black,10489,Work
1,That is just an excuse.You can always find some time to exercise .,no_emotion,inform,black,4171,Attitude_Emotion
2,The mayor and high official practice crony is mand a large number of guys who are good at nothing occupy many important positions .,no_emotion,inform,black,4215,Attitude_Emotion
12,"Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen .",anger,inform,black,4251,Attitude_Emotion
6,"No , not yet , but someone ’ s going to have to .",no_emotion,inform,black,10475,Work
0,Mr . Wilson . We very regret the mistakes in goods . I am very sorry and we are responsible for the mistake .,no_emotion,directive,black,10617,Work
0,"Mrs . Lee , I ’ Ve stayed here for almost a week . And I really must leave tomorrow .",no_emotion,inform,black,10480,Work
3,I laughed up my sleeves at him . He ’ s seen his girlfriend off at the airport and had lipstick on his face and did not know it . __eou__,no_emotion,inform,black,4239,Attitude_Emotion
3,You're too strict with yourself .,no_emotion,inform,black,4202,Attitude_Emotion
2,Not often . Just when I make mistakes . __eou__,no_emotion,inform,black,4233,Attitude_Emotion
11,Slacker and those who violate working principles . __eou__,no_emotion,inform,black,10460,Work
4,"Maybe his phone is out of order . Anyway , keep working on it . I really need an answer about the contract I sent him .",no_emotion,directive,black,10478,Work
2,Really ? I think that's impossible !,surprise,question,black,4837,Relationship
2,"If I were him , I wouldn't brazen it out by asking my parents for money .",no_emotion,inform,black,4219,Attitude_Emotion
3,I'm afraid we have to reschedule it .,no_emotion,directive,black,10477,Work
7,"We really can ’ t ask him to stop having students come in for help , can we ?",no_emotion,directive,black,10475,Work
3,But I ’ m not in there very often . It ’ s so noisy that I can ’ t work .,no_emotion,commissive,black,10475,Work
2,"I've tried it , but he would have none of it . __eou__",no_emotion,inform,black,4207,Attitude_Emotion
1,He's a sad dog . He came to the wedding in jeans !,anger,inform,black,4228,Attitude_Emotion
11,No . I hate cell phones.But you could go to a neighbor's house and use their phone .,no_emotion,inform,black,4247,Attitude_Emotion
1,"Does he do that with his Dad ? I mean , does he complain things to his father ?",no_emotion,question,black,4197,Attitude_Emotion
2,Jack borrowed a large sum of money from me and didn ’ t pay me back .,no_emotion,inform,black,4235,Attitude_Emotion
4,"No , listen to me . Perhaps it's my fault that I treat everybody so well . Maybe in other people's eyes , I want you to be my girl-friend . but ... but ...",no_emotion,inform,black,4257,Attitude_Emotion
1,We broke up . __eou__,no_emotion,inform,black,4874,Relationship
2,"You liar , I saw you again in the inn . I bet you don't want to work at all . __eou__",no_emotion,inform,black,4225,Attitude_Emotion
5,Has anybody spoken to him about it ?,no_emotion,inform,black,10475,Work
1,Selfishness is one human beings instincts . It is very difficult to get it out root and branch .,no_emotion,inform,black,4192,Attitude_Emotion
1,"I'm trying to send the instruction book by E-mail , but I failed many , many times . And there is something wrong with the net maybe . It's so slow .",no_emotion,inform,black,10621,Work
3,Because he'll tell Mary and that will cause us problems . __eou__,no_emotion,inform,black,10467,Work
5,It kept me awake .,no_emotion,inform,black,4244,Attitude_Emotion
2,Don ’ t you see many parents are forcing there children ’ s hands to learn something they think important to their children . But the children are not interested in it at all .,no_emotion,inform,black,4238,Attitude_Emotion
5,"Partly , and he's also a hardworking man . __eou__",no_emotion,inform,black,4214,Attitude_Emotion
5,I thought the starting salary is too low .,no_emotion,directive,black,10619,Work
1,How could we ever manage to buy a big house when we are always living beyond our means ?,no_emotion,question,black,4237,Attitude_Emotion
1,I'm afraid you've got the wrong extension number .,no_emotion,commissive,black,10624,Work
2,He was so rich in the past . Maybe he ’ s regretting his past mistakes now .,no_emotion,inform,black,4194,Attitude_Emotion
1,"I know I'm late . I'm sorry . I tried to call you to tell you , but your phone seems to be disconnected .",no_emotion,inform,black,4247,Attitude_Emotion
3,I'm not sure . __eou__,no_emotion,inform,black,10461,Work
2,I'm sorry to say the only term of payment we can accept is 100 % irrevocable letter of credit payable against shipping documents .,no_emotion,commissive,black,10491,Work
1,"I'm looking for it , but you see , the market is hard up for jobs , too .",no_emotion,inform,black,4225,Attitude_Emotion
0,Finding an excuse is obviously down your alley . And trying to avoid taking care of the children is what you are good at .,anger,inform,black,4217,Attitude_Emotion
3,I just keep getting a busy signal .,no_emotion,inform,black,10478,Work
10,"So cool , if we do business through other ways , it will cost a lot of time .",no_emotion,inform,black,10483,Work
3,"She's my sister , you know . __eou__",no_emotion,inform,black,4221,Attitude_Emotion
3,It ’ s too late . __eou__,no_emotion,inform,black,4194,Attitude_Emotion
10,"Oh , that would be too small .",no_emotion,commissive,black,10475,Work
11,That's about five blocks . And around corners too.So he was definitely following you .,no_emotion,inform,black,4250,Attitude_Emotion
0,"Bob , put on your shoes , your feet are really smelly .",no_emotion,directive,black,4205,Attitude_Emotion
4,"That ’ s exactly what I ’ m getting at . We ’ re supposed to be able to do our preparation and marking in that office , but have you noticed ? Jack constantly has students coming in to get help with his course . A lot people are going in and out .",no_emotion,inform,black,10475,Work
1,"I can't agree with you . She's pretty , but she always blows hot and cold .",no_emotion,inform,black,4221,Attitude_Emotion
2,But he has to stick to it and to it long enough . __eou__,no_emotion,inform,black,4174,Attitude_Emotion
0,This small town has many serious problems .,no_emotion,inform,black,4215,Attitude_Emotion
3,I never trust those stupid doctors . __eou__,no_emotion,inform,black,4241,Attitude_Emotion
4,"I'm afraid not . We insist on a letter of credit , because as seller , we also have the problem of funds being tied up .",no_emotion,commissive,black,10491,Work
3,"His mother , not me , should do this . __eou__",no_emotion,inform,black,4192,Attitude_Emotion
0,Maybe you should have told me first ?,no_emotion,directive,black,10471,Work
1,"We appreciate your intention , but the amount of your orders last year was moderate .",no_emotion,commissive,black,10487,Work
2,What seems to be the problem ?,no_emotion,question,black,10478,Work
1,"I'm sorry , I didn't mean to forget our wedding anniversary .",sadness,inform,black,4256,Attitude_Emotion
15,Of course you can call the police if you want . That's not what I mean . I'm just saying that they probably won't do anything .,no_emotion,inform,black,4250,Attitude_Emotion
9,"Yes , that's for sure . There is nothing wrong with the quality . I think you'd better pack them first in plastic bags , than in cartons .",no_emotion,directive,black,10476,Work
13,"Yes , of course I can drive you.So you don't want to get your phone fixed right away ?",no_emotion,commissive,black,4247,Attitude_Emotion
1,What's the problem ?,no_emotion,question,black,10474,Work
1,You are pretending !,happiness,inform,black,4264,Attitude_Emotion
2,"Well , maybe the net is slow now . Try it again .",no_emotion,directive,black,10621,Work
5,I merely know how to send the direct letter . But I am not familiar with the attachment .,no_emotion,inform,black,10621,Work
9,"It was that loud , and it was pretty late , and check with Mary if you don't believe me .",no_emotion,inform,black,4244,Attitude_Emotion
3,I think you just need to get more sleep .,no_emotion,inform,black,4262,Attitude_Emotion
4,"I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring.He just kept staring at me . He didn't stop .",no_emotion,inform,black,4250,Attitude_Emotion
11,"Sure , but every coin has two sides . Doing business through the internet is not as safe as doing business through traditional ways .",no_emotion,inform,black,10483,Work
5,"But you have had lily already ? You should have told me about her , but you didn't .",anger,inform,black,4257,Attitude_Emotion
0,We're having trouble with Bob .,no_emotion,inform,black,10474,Work
3,I ’ m at the end of tether . I run out of ideas . __eou__,no_emotion,inform,black,4234,Attitude_Emotion
1,We have no choice but to hold you responsible for the loss we sustained .,no_emotion,commissive,black,10617,Work
2,"Then , why didn't you try to prevent it in the beginning ?",anger,question,black,4263,Attitude_Emotion
0,My girlfriend dumped me .,sadness,inform,black,4871,Relationship
10,What if the results from the two inspections do not coincide with each other ?,no_emotion,question,black,10481,Work
1,I ’ m in pretty bad shape . I am having an allergy all the time .,no_emotion,inform,black,4241,Attitude_Emotion
2,You always have a chip on your shoulder .,anger,inform,black,4227,Attitude_Emotion
4,"We do not want to place ourselves in an inferior position . We are a good , small company---that's why you are interested .",no_emotion,inform,black,10489,Work
3,"Bill , you know that work is not the same as exercise as it is stressful but not relaxing.And skipping meals will not help you lose weight.In fact your body will only store fat if you miss meals .",no_emotion,inform,black,4171,Attitude_Emotion
11,"Maybe . But if there's a blackout , probably the pubs are closed.And besides , I know you have a political science exam tomorrow . I thought you had a lot of reading to do .",no_emotion,inform,black,4251,Attitude_Emotion
2,You are passing the buck . I'll be hanged if I ask you to go to the park with us .,anger,inform,black,4217,Attitude_Emotion
6,But I'll miss the news.It ' s important in my business to keep up with events in China .,no_emotion,commissive,black,4171,Attitude_Emotion
3,She kept on bothering me .,no_emotion,inform,black,4220,Attitude_Emotion
5,I'm very sorry . But Mr . Stephen must leave for Hong Kong right away .,no_emotion,directive,black,10477,Work
3,But our order this time is very large . To open an L / C for such a large amount at a bank is costly . Can you be a bit more flexible and bend the rule a little ?,no_emotion,directive,black,10491,Work
1,I'm happy with that price .,no_emotion,inform,yellow,10435,Work
2,I can ’ t thank you enough . I ’ m really touched . I don ’ t know what to say .,happiness,inform,yellow,4851,Relationship
9,"No problem . Thank you for hiring me , I am very proud to be employed by your company and I will come in at eight o ’ clock sharp Monday . __eou__",happiness,commissive,yellow,10619,Work
1,Can you believe I'm going to America ?,happiness,inform,yellow,4246,Attitude_Emotion
2,"You did a good job for the company . So , this is your first day in the new position . How do you feel ?",no_emotion,question,yellow,10485,Work
2,"That's true . However at the Fair last March , people were so interested in Chinese garments that the demand this year will surely increase .",no_emotion,directive,yellow,10487,Work
3,"Okay , let's shake on it . __eou__",no_emotion,commissive,yellow,10435,Work
2,"Nice meeting you , too .",happiness,inform,yellow,4852,Relationship
3,Don ’ t make a mountain out of molehill . I am sure he will do that on his payday . __eou__,no_emotion,inform,yellow,4235,Attitude_Emotion
1,"And he himself is very diligent . Considering all these , I think he has the ball at his feet .",no_emotion,inform,yellow,4174,Attitude_Emotion
8,"Oh , I think I should try to read one . __eou__",happiness,inform,yellow,4835,Relationship
7,That will be fine . __eou__,no_emotion,commissive,yellow,10477,Work
4,I'm very glad to hear that .,happiness,inform,yellow,4854,Relationship
5,I think we can still talk .,no_emotion,inform,yellow,4263,Attitude_Emotion
3,Not at all . It ’ s a piece of cake .,happiness,inform,yellow,4853,Relationship
3,"No , I encourage her to go her own way , but she's now having a change of heart . __eou__",no_emotion,inform,yellow,4218,Attitude_Emotion
0,You're looking great .,happiness,inform,yellow,4254,Attitude_Emotion
0,"What an attractive blouse , You look so pretty in this blue dress !",happiness,inform,yellow,4242,Attitude_Emotion
0,"Sir , I am very glad to tell that we have successfully registered the trademark for our new product . It is the time to think of some effective promoting strategies . We are beginning to get more attention from overseas .",no_emotion,directive,yellow,10615,Work
